Playlist name,Title,URL,Duration (minutes),Views,Number of likes,Number of dislikes,Number of comments
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 1 | Հաջորդականության սահմանը R^m տարածությունում | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=Y22tmTLMtoM,70,906,7,,5
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 2 | Զուգամիտությունը R^m-ում։ Ֆունկցիայի սահման | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=0wn8nKGemEo,65,431,4,,3
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 3 | Կոշիի սկզբունքը R^m-ում։ Հաջորդական սահմաններ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=qHVChSUlwSM,78,466,5,,3
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 5 | Կոմպակտ բազմություն R^m-ում։ Բորելի լեմման | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=LT1Og_DiDpY,66,359,4,,3
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 6 | Անընդհատությունը R^m-ում։ Վեկտորարժեք ֆունկցիա | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=Ns7EUdsWTpA,74,308,3,,2
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),"Դաս 7 | Բոլցանո-Կոշիի, Վայերշտրասի, Կանտորի թեորեմները R^m-ում | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ)",https://www.youtube.com/watch?v=drJBoP-WoBE,75,463,8,,2
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 8 | Ֆունկցիայի մասնակի ածանցյալ։ Լրիվ աճի բանաձևը | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=ZbFpr2_yW-o,70,486,9,,4
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 9 | Դիֆերենցելի ֆունկցիա և դիֆերենցիալ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=eW8R3t6NSkQ,71,450,6,,3
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 10 | Դիֆերենցիալի երկրաչափական իմաստը։ Շղթայի կանոն | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=XKrbBB5gwkk,73,317,3,,3
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 11 | Ուղղությամբ ածանցյալ և գրադիենտ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=elbJlqPrqbY,69,420,6,,1
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 12 | Բարձր կարգի ածանցյալ։ Խառն ածանցյալների թեորեմը | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=ZuK6nSzWSoI,73,327,8,,2
