Playlist name,Title,URL,Duration (minutes),Views,Number of likes,Number of dislikes,Number of comments
Մաթեմատիկական անալիզ 4,"Դաս 1 | Վերջավոր վարիացիա։ BV[a, b] դասի կառուցվածքը | Մաթեմատիկական անալիզ 4",https://www.youtube.com/watch?v=EoBlM2XuVG4,67,638,9,,7
Մաթեմատիկական անալիզ 4,Դաս 2 | Վերջավոր վարիացիայի ֆունկցիայի հիմնական հատկություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=uFg-L9-WTxI,64,255,4,,2
Մաթեմատիկական անալիզ 4,Դաս 3 | Ստիլտեսի ինտեգրալի հատկություններ և գոյություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=HX0n41UIehI,68,195,4,,1
Մաթեմատիկական անալիզ 4,Դաս 4 | Ընդհանուր հավասարաչափ զուգամիտություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=rRJYD0xDXGY,66,155,3,,3
Մաթեմատիկական անալիզ 4,Դաս 5 | Պարամետրից կախված ինտեգրալ (ՊԿԻ) | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=A5vI9avWM38,41,191,3,,1
Մաթեմատիկական անալիզ 4,Դաս 6 | Պարամետրից կախված անիսկական ինտեգրալ (ՊԿԱԻ) | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=KrK9VeA0fiE,65,146,4,,1
Մաթեմատիկական անալիզ 4,Դաս 7 | ՊԿԱԻ-ի հավասարաչափ զուգամիտության հայտանիշներ | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=14zXBRg8EAc,65,115,2,,2
Մաթեմատիկական անալիզ 4,Դաս 8 | ՊԿԱԻ-ի անընդհատությունը և սահմանային անցում | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=Q2fVNnXy9mY,67,112,3,,3
Մաթեմատիկական անալիզ 4,Դաս 9 | ՊԿԱԻ-ի ածանցումը։ Դիրիխլեի ինտեգրալը | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=EjaAfde_jYU,57,153,4,,2
Մաթեմատիկական անալիզ 4,Դաս 10 | ՊԿԱԻ-ի ինտեգրումը։ Էյլերի բետա ֆունկցիա | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=B3aaHnOP5Ng,65,80,2,,1
Մաթեմատիկական անալիզ 4,Դաս 11 | Էյլերի գամմա ֆունկցիա | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=YJ_ZHnqN-x4,67,115,2,,3
Մաթեմատիկական անալիզ 4,Դաս 12 | Կորի պարամետրացում։ 1-ին սեռի կորագիծ ինտեգրալ | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=tQnCmeev-2Y,51,226,6,,2
