Playlist name,Title,URL,Duration (minutes),Views,Number of likes,Number of dislikes,Number of comments
Մաթեմատիկական անալիզ 3,Դաս 9 | Ֆունկցիոնալ շարքի գումարի հատկությունները | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=uEhu9ETABhk,51,1641,25,,
Մաթեմատիկական անալիզ 3,Դաս 10 | Ֆունկցիոնալ շարքի ինտեգրում և ածանցում | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=CIXFmB3sJmA,68,697,12,,3.0
Մաթեմատիկական անալիզ 3,Դաս 11 | Աստիճանային շարքեր։ Աբելի թեորեմները | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=PyL9O4pqIV8,58,333,3,,
Մաթեմատիկական անալիզ 3,Դաս 12 | Անվերջ սահմաններով անիսկական ինտեգրալ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=lDxky2cvIz4,68,615,16,,
Մաթեմատիկական անալիզ 3,Դաս 13 | Անիսկական ինտեգրալի զուգամիտությունը | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=2OAWeagFM1M,58,540,7,,
Մաթեմատիկական անալիզ 3,Դաս 14 | Անսահմանափակ ֆունկցիայի անիսկական ինտեգրալ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=zP0rdJaUqlg,51,200,2,,2.0
Մաթեմատիկական անալիզ 3,Դաս 15 | Եռանկյունաչափական շարքեր։ Ֆուրիեի շարք | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=68EHvkXlJRI,60,335,4,,2.0
Մաթեմատիկական անալիզ 3,Դաս 16 | Ֆուրիեի շարքի զուգամիտության հայտանիշներ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=i_sZM09OF5w,68,350,9,,1.0
Մաթեմատիկական անալիզ 3,Դաս 17 | Ոչ պարբերական ֆունկցիայի Ֆուրիեի շարք | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=_BULOtAxV0E,71,244,6,,2.0
Մաթեմատիկական անալիզ 3,Դաս 18 | Ֆեյերի թեորեմը | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=gF8x5l92btg,36,175,2,,1.0
Մաթեմատիկական անալիզ 3,Դաս 19 | Վայերշտրասի թեորեմները։ Զուգահեռանիստի տրոհումներ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=QYsht0qLmXc,72,359,9,,2.0
Մաթեմատիկական անալիզ 3,Դաս 20 | Զուգահեռանիստով տարածված ինտեգրալ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=OeFtYYzZvPA,69,169,4,,2.0
Մաթեմատիկական անալիզ 3,Դաս 21 | Ֆունկցիայի տատանում։ Զրո չափի բազմություններ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=XJr0bic9cPg,65,187,3,,1.0
Մաթեմատիկական անալիզ 3,Դաս 22 | Լեբեգի թեորեմը։ Բազմակի ինտեգրալի հատկություններ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=W6joRefWU4E,67,158,4,,2.0
Մաթեմատիկական անալիզ 3,Դաս 23 | J-չափելի բազմությամբ տարածված ինտեգրալ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=5v_E8WnfsWk,66,164,2,,3.0
Մաթեմատիկական անալիզ 3,Դաս 24 | Ֆուբինիի թեորեմը։ Կորագիծ սեղանով կրկնակի ինտեգրալ | Մաթեմատիկական անալիզ 3,https://www.youtube.com/watch?v=aPk_g7_r_rM,68,233,4,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),"Դաս 8 | Յենսենի, Հյոլդերի, Մինկովսկու անհավասարությունները | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ)",https://www.youtube.com/watch?v=Sb7iWWIzBmM,40,939,5,,2.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 9 | Անորոշ ինտեգրալներ | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=ehhIWKtErB4,69,470,6,,3.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 10 | Որոշյալ ինտեգրալ | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=uAg4tBMNdmM,67,587,6,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 11 | Ինտեգրելիության պայմաններ։ Դարբուի թեորեմ | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=RJ2G6A0vx7Y,68,353,4,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 12 | Ինտեգրելի ֆունկցիաների դասեր | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=utYrslY-PRI,52,387,4,,3.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 13 | Ինտեգրալի հատկությունները | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=bnt83GwZZp8,70,262,2,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 14 | Միջին արժեքի թեորեմ։ Նյուտոն-Լայբնիցի բանաձևը | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=6bVCxlyvgEk,71,478,2,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 15 | Փոփոխականի փոխարինում և մասերով ինտեգրում | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=5Ju2ajUhWTA,71,327,3,,3.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 16 | Քառակուսելի պատկեր։ Քառակուսելիության հայտանիշներ | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=Z4m1S-_VBMI,71,259,1,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 17 | Մակերեսի արտահայտումը բևեռային կոորդինատներով | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=AWJCTvmS4Sw,60,226,4,,2.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 18 | Խորանարդելի մարմին։ Խորանարդելիության հայտանիշներ | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=pVxM-YCiM10,63,99,1,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 19 | Ծավալի արտահատումն ինտեգրալով։ Ուղղելի կորեր | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=l8lEcM3jIN4,63,221,4,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 20 | Կորի երկարության հաշվումը | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=a1mxxH_9dAU,70,277,2,,1.0
Մաթեմատիկական անալիզ 4,"Դաս 1 | Վերջավոր վարիացիա։ BV[a, b] դասի կառուցվածքը | Մաթեմատիկական անալիզ 4",https://www.youtube.com/watch?v=EoBlM2XuVG4,67,638,9,,7.0
Մաթեմատիկական անալիզ 4,Դաս 2 | Վերջավոր վարիացիայի ֆունկցիայի հիմնական հատկություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=uFg-L9-WTxI,64,255,4,,2.0
Մաթեմատիկական անալիզ 4,Դաս 3 | Ստիլտեսի ինտեգրալի հատկություններ և գոյություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=HX0n41UIehI,68,195,4,,1.0
Մաթեմատիկական անալիզ 4,Դաս 4 | Ընդհանուր հավասարաչափ զուգամիտություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=rRJYD0xDXGY,66,155,3,,3.0
Մաթեմատիկական անալիզ 4,Դաս 5 | Պարամետրից կախված ինտեգրալ (ՊԿԻ) | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=A5vI9avWM38,41,191,3,,1.0
Մաթեմատիկական անալիզ 4,Դաս 6 | Պարամետրից կախված անիսկական ինտեգրալ (ՊԿԱԻ) | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=KrK9VeA0fiE,65,146,4,,1.0
