glux,bajin,tema,page_in_book,position,Lesson_num,Video,Timestamp
"Գլուխ 5, ինտեգրալ հաշիվ",1. Անորոշ Ինտեգրալ,1. Նախնական ֆունկցիա և անորոշ ինտեգրալ,139,up,9,https://youtu.be/ehhIWKtErB4,0:00:00
"Գլուխ 5, ինտեգրալ հաշիվ",1. Անորոշ Ինտեգրալ,2. Ինտեգրման պարզագույն հատկությունները,140,down,9,https://youtu.be/ehhIWKtErB4,24:30
"Գլուխ 5, ինտեգրալ հաշիվ",1. Անորոշ Ինտեգրալ,3. փոփոխականի փոխարինում,142,up,9,https://youtu.be/ehhIWKtErB4,31:22
"Գլուխ 5, ինտեգրալ հաշիվ",1. Անորոշ Ինտեգրալ,4. մասերով ինտեգրում,143,down,9,https://youtu.be/ehhIWKtErB4,48:15
"Գլուխ 5, ինտեգրալ հաշիվ",2. Որոշյակ ինտեգրալի սահմանւմը և գոյության պայմանները,1. Որոշյալ ինտեգրալի սահմանոը ,145,down,10,https://youtu.be/uAg4tBMNdmM,0:00:00
"Գլուխ 5, ինտեգրալ հաշիվ",2. Որոշյակ ինտեգրալի սահմանւմը և գոյության պայմանները,2. Ինտեգրելիության անհրաժեշը պայմանը,146,down,10,https://youtu.be/uAg4tBMNdmM,16:51
"Գլուխ 5, ինտեգրալ հաշիվ",2. Որոշյակ ինտեգրալի սահմանւմը և գոյության պայմանները,3. Դարբուի գումարները,147,down,10,https://youtu.be/uAg4tBMNdmM,28:36
"Գլուխ 5, ինտեգրալ հաշիվ",2. Որոշյակ ինտեգրալի սահմանւմը և գոյության պայմանները,4. ինտեգրալի գոյության պայմանը,150,middle,11,https://youtu.be/RJ2G6A0vx7Y,0:00:00
"Գլուխ 5, ինտեգրալ հաշիվ",3. Ինտեգրելի ֆունկցիաների դասեր,Ինտեգրելի ֆունկցիաների դասեր,153,middle,12,https://youtu.be/utYrslY-PRI,0:00:00
"Գլուխ 5, ինտեգրալ հաշիվ",4. Ինտեգրալի հատկությունները,1. Հավասարումներով արտահայտվող հակտությունները,155,down,13,https://youtu.be/bnt83GwZZp8,0:00:00
"Գլուխ 5, ինտեգրալ հաշիվ",4. Ինտեգրալի հատկությունները,2. Անհավասարություններով արտահայտվող հատկուոյթւններ,157,down,13,https://youtu.be/bnt83GwZZp8,55:57
"Գլուխ 5, ինտեգրալ հաշիվ",4. Ինտեգրալի հատկությունները,3. Միջին արժեքի թեորեմը,158,down,14,https://youtu.be/6bVCxlyvgEk,0:00:00
"Գլուխ 5, ինտեգրալ հաշիվ",4. Ինտեգրալի հատկությունները,4. Միջին արժեքի ընդհանրացված թեորեմը,159,middle,14,https://youtu.be/6bVCxlyvgEk,21:53
"Գլուխ 5, ինտեգրալ հաշիվ",5. Ինտեգրալ որպեես վերջին սահմանի ֆունկցիա,Ինտեգրալ որպեես վերջին սահմանի ֆունկցիա,160,middle,14,https://youtu.be/6bVCxlyvgEk,36:30
"Գլուխ 5, ինտեգրալ հաշիվ",6. Ինտեգրալ հաշվի հինական բանաձևտ (Նյուտոն Լայբնից),Ինտեգրալ հաշվի հինական բանաձևտ (Նյուտոն Լայբնից),161,up,14,https://youtu.be/6bVCxlyvgEk,1:04:59
"Գլուխ 5, ինտեգրալ հաշիվ",7. Միջին արժեքի երկրորդ թեորմեը - բոննե,Միջին արժեքի երկրորդ թեորմեը - բոննե,163,up,N/A,N/A,N/A
"Գլուխ 5, ինտեգրալ հաշիվ",8. փոփոխականի փոխարինում և մասերով ինետգրում,1. Փոփոխականի փոխարինում,165,up,15,https://youtu.be/5Ju2ajUhWTA,0:00:00
"Գլուխ 5, ինտեգրալ հաշիվ",8. փոփոխականի փոխարինում և մասերով ինետգրում,2. Մասերով ինտեգրում,165,down,15,https://youtu.be/5Ju2ajUhWTA,25:04
