words,from_dictionary,2 letters swapped,swapped word
,True,False,
ակնհայտ,True,False,
այդ,True,False,
այժմ,True,False,
այնպիսի,True,False,
այսպիսով,True,False,
անընդհատ,True,False,
անհավաս,False,False,
անհավասարության,False,False,
անհավասարությունը,False,False,
անհավասարությունն,False,False,
ապա,True,False,
ասվածից,False,False,
արժեքներ,False,False,
արտադրյալի,True,False,
աքսիոմի,True,False,
բազմություն,True,False,
բազմությունը,True,False,
բայց,True,False,
բավարարում,True,False,
բերենք,True,False,
բխում,False,False,
գույություն,False,False,
գրենք,True,False,
գրված,False,False,
դա,True,False,
դառնում,False,False,
դատարկ,True,False,
դեկարտյան,True,False,
դեպքում,True,False,
դիտարկենք,True,False,
դիցուք,True,False,
եթե,True,False,
են,True,False,
ենթադրենք,True,False,
եռանկյան,False,False,
երրորդն,False,False,
զուգամետ,True,False,
զուգամիտում,False,False,
զույգը,False,False,
էլ,True,False,
էլեմենտին,False,False,
էս,False,False,
էր,False,False,
ընդունող,False,False,
ընտրելուվ,False,False,
ըստ,True,False,
թեորեմի,True,False,
թվային,True,False,
թվերի,True,False,
իսկ,True,False,
իր,True,False,
իրական,True,False,
լեմմա,False,False,
լինել,True,False,
լինելու,True,False,
լրիվ,True,False,
կախված,True,False,
կամայականության,False,False,
կասենք,True,False,
կարող,True,False,
կարողա,False,False,
կողմը,False,False,
կոչվում,True,False,
կոռեկտությունը,False,False,
կունենանք,False,False,
համակարգին,False,False,
համաձայն,False,False,
համար,True,False,
համարժեք,True,False,
համոզվել,True,False,
հանդիսանում,False,False,
հաջորդականության,False,False,
հաջորդականություն,True,False,
հաջորդականությունը,False,False,
հավար,False,False,
հատ,False,False,
հատվածի,True,False,
հետևյալ,True,False,
հերթին,True,False,
հիլբերտի,False,False,
ձախ,True,False,
մաքսիմում,False,False,
մեծ,True,False,
մեկ,True,False,
մեկի,False,False,
մետրիկա,True,False,
մետրիկական,False,False,
մետրիկայի,False,False,
մետրիկայով,False,False,
մետրիկաներ,False,False,
մետրիկաներlabelsec,False,False,
մետրիկաները,False,False,
մետրիկաների,False,False,
մետրկաների,False,False,
միակն,False,False,
մինկովսկու,False,False,
յուրաքանչյուր,True,False,
նշանակենք,True,False,
նշենք,True,False,
նշված,True,False,
նույնիսկ,False,False,
շնորհիվ,False,False,
ոչ,True,False,
որ,True,False,
որը,True,False,
որոշակի,True,False,
որոշված,True,False,
որովհետև,False,False,
որևէ,True,False,
ունեն,True,False,
ունի,True,False,
չեն,True,False,
չէ,True,False,
պայմաններին,True,False,
պարզ,True,False,
ռացիոնալ,False,False,
սա,True,False,
սահմանափակ,True,False,
սահմանը,False,False,
սահմանումից,True,False,
ստացանք,True,False,
ստացված,True,False,
ստացվածից,False,False,
ստուգել,True,False,
վայերշտրասի,True,False,
վրա,True,False,
տանք,True,False,
տարածություն,True,False,
տարածություններ,True,False,
տարածությունները,False,False,
տարածությունում,True,False,
տեղի,True,False,
տրված,True,False,
ցույց,True,False,
քանի,True,False,
օրինակ,True,False,
օրինակներ,True,False,
ֆիքսված,False,False,
ֆունդամենտալ,True,False,
ֆունկցիա,True,False,
ֆունկցիաների,True,False,
ևս,True,False,
